slug,brand,name,type,weight_grams,length_cm,breadth_cm,height_cm
adidas-adilette-slide-unisex,adidas,Adilette Comfort Slide,slide,,,,
adidas-adizero-sl-mens,adidas,Adizero SL,sports,,,,
adidas-gazelle-womens,adidas,Gazelle,sneaker,,,,
adidas-gazelle-indoor-womens,adidas,Gazelle Indoor,sneaker,,,,
adidas-samba-og-mens,adidas,Samba OG,sneaker,,,,
asics-gel-cumulus-27-womens,ASICS,Gel-Cumulus 27,sports,,,,
asics-gel-kayano-31-wide-womens,ASICS,Gel-Kayano 31 Wide Fit Stability Running Trainer for Overpronation,sports,,,,
asics-gel-nimbus-27-mens,ASICS,Gel-Nimbus 27,sports,,,,
bata-floater-sandal-mens,Bata,Floater Sandal,sandal,,,,
bata-school-shoe-kids,Bata,Naughty Boy School Shoe,formal,,,,
bata-derby-mens,Bata,Remo Derby,formal,,,,
bata-loafer-womens,Bata,Slip-On Loafer,formal,,,,
campus-kids-sneaker,Campus,Junior Runner,sneaker,,,,
campus-north-plus-mens,Campus,North Plus,sneaker,,,,
crocs-brooklyn-slide-womens,Crocs,Brooklyn Low Wedge,slide,,,,
crocs-classic-clog-unisex,Crocs,Classic Clog,slide,,,,
crocs-kids-clog,Crocs,Classic Clog Kids,slide,,,,
metro-ballerina-womens,Metro,Leather Ballerina,formal,,,,
metro-penny-loafer-mens,Metro,Penny Loafer,formal,,,,
new-balance-327-womens,New Balance,327,sneaker,,,,
new-balance-550-mens,New Balance,550,sneaker,,,,
nike-air-max-90-mens,Nike,Air Max 90,sneaker,,,,
nike-court-vision-womens,Nike,Court Vision Low,sneaker,,,,
nike-pegasus-41-mens,Nike,Pegasus 41,sports,,,,
puma-flip-flop-unisex,Puma,Epic Flip,flipflop,,,,
puma-softride-womens,Puma,Softride Enzo,sports,,,,
puma-suede-classic-mens,Puma,Suede Classic XXI,sneaker,,,,
puma-velocity-nitro-3-mens,Puma,Velocity Nitro 3,sports,,,,
red-chief-chukka-mens,Red Chief,Leather Chukka,boot,,,,
red-chief-oxford-mens,Red Chief,Leather Oxford,formal,,,,
skechers-go-walk-7-mens,Skechers,Go Walk 7,sneaker,,,,
skechers-summits-womens,Skechers,Summits,sneaker,,,,
woodland-camel-boot-mens,Woodland,Camel Leather Boot,boot,,,,
woodland-brogue-mens,Woodland,Leather Brogue,formal,,,,
woodland-nubuck-trek-mens,Woodland,Nubuck Trek Boot,boot,,,,
